Date,spot_gold
1971-01-01,38.05
1971-02-01,38.8
1971-03-01,38.88
1971-04-01,39.7
1971-05-01,40.84
1971-06-01,40.1
1971-07-01,42.4
1971-08-01,40.65
1971-09-01,42.6
1971-10-01,42.34
1971-11-01,43.6
1971-12-01,43.55
1972-01-01,47.15
1972-02-01,48.2
1972-03-01,48.38
1972-04-01,49.6
1972-05-01,59.45
1972-06-01,64.65
1972-07-01,68.3
1972-08-01,66.88
1972-09-01,64.2
1972-10-01,64.39
1972-11-01,63.6
1972-12-01,64.9
1973-01-01,66.0
1973-02-01,85.0
1973-03-01,90.0
1973-04-01,90.72
1973-05-01,114.75
1973-06-01,123.25
1973-07-01,115.6
1973-08-01,103.5
1973-09-01,100.0
1973-10-01,98.0
1973-11-01,101.0
1973-12-01,112.25
1974-01-01,132.5
1974-02-01,162.5
1974-03-01,173.0
1974-04-01,169.25
1974-05-01,156.75
1974-06-01,144.25
1974-07-01,156.0
1974-08-01,156.0
1974-09-01,151.25
1974-10-01,167.0
1974-11-01,184.0
1974-12-01,186.5
1975-01-01,175.8
1975-02-01,181.75
1975-03-01,177.25
1975-04-01,167.0
1975-05-01,167.0
1975-06-01,166.25
1975-07-01,166.7
1975-08-01,159.8
1975-09-01,141.25
1975-10-01,142.9
1975-11-01,138.15
1975-12-01,140.25
1976-01-01,128.15
1976-02-01,132.3
1976-03-01,129.6
1976-04-01,128.4
1976-05-01,125.5
1976-06-01,123.8
1976-07-01,112.5
1976-08-01,104.0
1976-09-01,116.0
1976-10-01,123.15
1976-11-01,130.25
1976-12-01,134.5
1977-01-01,132.3
1977-02-01,142.75
1977-03-01,148.9
1977-04-01,147.25
1977-05-01,142.95
1977-06-01,143.0
1977-07-01,144.1
1977-08-01,146.0
1977-09-01,154.05
1977-10-01,161.5
1977-11-01,160.05
1977-12-01,164.95
1978-01-01,175.75
1978-02-01,182.25
1978-03-01,181.6
1978-04-01,170.85
1978-05-01,184.15
1978-06-01,183.05
1978-07-01,200.25
1978-08-01,208.7
1978-09-01,217.1
1978-10-01,242.6
1978-11-01,193.4
1978-12-01,226.0
1979-01-01,233.7
1979-02-01,251.3
1979-03-01,240.1
1979-04-01,245.3
1979-05-01,274.6
1979-06-01,277.5
1979-07-01,296.45
1979-08-01,315.1
1979-09-01,397.25
1979-10-01,382.0
1979-11-01,415.65
1979-12-01,512.0
1980-01-01,653.0
1980-02-01,637.0
1980-03-01,494.5
1980-04-01,518.0
1980-05-01,535.5
1980-06-01,653.5
1980-07-01,614.25
1980-08-01,631.25
1980-09-01,666.75
1980-10-01,629.0
1980-11-01,619.75
1980-12-01,589.75
1981-01-01,506.5
1981-02-01,489.0
1981-03-01,513.75
1981-04-01,482.75
1981-05-01,479.25
1981-06-01,426.0
1981-07-01,406.0
1981-08-01,425.0
1981-09-01,428.75
1981-10-01,427.0
1981-11-01,414.5
1981-12-01,397.5
1982-01-01,387.0
1982-02-01,362.6
1982-03-01,320.0
1982-04-01,361.25
1982-05-01,325.25
1982-06-01,317.5
1982-07-01,342.9
1982-08-01,411.5
1982-09-01,397.0
1982-10-01,423.25
1982-11-01,436.0
1982-12-01,456.9
1983-01-01,499.5
1983-02-01,408.5
1983-03-01,414.75
1983-04-01,429.25
1983-05-01,437.5
1983-06-01,416.0
1983-07-01,422.0
1983-08-01,414.25
1983-09-01,405.0
1983-10-01,382.0
1983-11-01,405.0
1983-12-01,382.4
1984-01-01,373.75
1984-02-01,394.25
1984-03-01,388.5
1984-04-01,375.8
1984-05-01,384.25
1984-06-01,373.05
1984-07-01,342.35
1984-08-01,348.25
1984-09-01,343.75
1984-10-01,333.5
1984-11-01,329.0
1984-12-01,308.3
1985-01-01,306.65
1985-02-01,287.75
1985-03-01,329.25
1985-04-01,321.35
1985-05-01,314.0
1985-06-01,317.75
1985-07-01,327.5
1985-08-01,333.25
1985-09-01,325.75
1985-10-01,325.1
1985-11-01,325.3
1985-12-01,326.8
1986-01-01,350.5
1986-02-01,338.15
1986-03-01,344.0
1986-04-01,345.75
1986-05-01,343.2
1986-06-01,346.75
1986-07-01,357.5
1986-08-01,384.7
1986-09-01,423.2
1986-10-01,401.0
1986-11-01,389.5
1986-12-01,388.75
1987-01-01,400.5
1987-02-01,405.85
1987-03-01,421.0
1987-04-01,453.25
1987-05-01,451.0
1987-06-01,447.3
1987-07-01,462.5
1987-08-01,453.4
1987-09-01,459.5
1987-10-01,468.8
1987-11-01,492.5
1987-12-01,484.1
1988-01-01,458.0
1988-02-01,426.15
1988-03-01,456.95
1988-04-01,449.0
1988-05-01,455.5
1988-06-01,436.55
1988-07-01,436.8
1988-08-01,427.75
1988-09-01,396.7
1988-10-01,412.4
1988-11-01,422.6
1988-12-01,410.25
1989-01-01,394.0
1989-02-01,387.0
1989-03-01,383.2
1989-04-01,377.55
1989-05-01,361.8
1989-06-01,373.0
1989-07-01,368.3
1989-08-01,359.8
1989-09-01,366.5
1989-10-01,375.3
1989-11-01,408.15
1989-12-01,398.6
1990-01-01,415.05
1990-02-01,407.7
1990-03-01,368.5
1990-04-01,367.75
1990-05-01,363.05
1990-06-01,352.2
1990-07-01,372.3
1990-08-01,387.75
1990-09-01,408.4
1990-10-01,379.5
1990-11-01,384.85
1990-12-01,386.2
1991-01-01,366.0
1991-02-01,362.7
1991-03-01,355.65
1991-04-01,357.75
1991-05-01,360.4
1991-06-01,368.35
1991-07-01,362.85
1991-08-01,347.4
1991-09-01,354.9
1991-10-01,357.45
1991-11-01,366.3
1991-12-01,353.15
1992-01-01,354.1
1992-02-01,353.1
1992-03-01,341.7
1992-04-01,336.35
1992-05-01,337.5
1992-06-01,343.4
1992-07-01,357.85
1992-08-01,340.0
1992-09-01,349.0
1992-10-01,339.25
1992-11-01,334.2
1992-12-01,332.9
1993-01-01,330.45
1993-02-01,327.6
1993-03-01,337.8
1993-04-01,354.3
1993-05-01,377.45
1993-06-01,378.45
1993-07-01,401.75
1993-08-01,371.55
1993-09-01,355.5
1993-10-01,369.6
1993-11-01,370.9
1993-12-01,391.75
1994-01-01,377.9
1994-02-01,381.55
1994-03-01,389.2
1994-04-01,376.45
1994-05-01,387.6
1994-06-01,388.25
1994-07-01,384.0
1994-08-01,385.75
1994-09-01,394.85
1994-10-01,383.85
1994-11-01,383.1
1994-12-01,383.25
1995-01-01,374.9
1995-02-01,376.4
1995-03-01,392.0
1995-04-01,389.75
1995-05-01,384.3
1995-06-01,387.05
1995-07-01,383.35
1995-08-01,382.35
1995-09-01,384.0
1995-10-01,382.65
1995-11-01,387.8
1995-12-01,387.0
1996-01-01,405.55
1996-02-01,400.65
1996-03-01,396.35
1996-04-01,391.3
1996-05-01,390.55
1996-06-01,382.0
1996-07-01,385.3
1996-08-01,386.45
1996-09-01,379.0
1996-10-01,379.5
1996-11-01,371.3
1996-12-01,369.25
1997-01-01,345.5
1997-02-01,358.6
1997-03-01,348.15
1997-04-01,340.15
1997-05-01,345.6
1997-06-01,334.55
1997-07-01,326.35
1997-08-01,325.35
1997-09-01,332.1
1997-10-01,311.4
1997-11-01,296.8
1997-12-01,290.2
1998-01-01,304.85
1998-02-01,297.4
1998-03-01,301.0
