Name,US dollar
31/12/1969,35.2
30/1/1970,34.99
27/2/1970,35.02
31/3/1970,35.3
30/4/1970,35.85
29/5/1970,35.45
30/6/1970,35.49
31/7/1970,35.3
31/8/1970,35.8
30/9/1970,36.4
30/10/1970,37.25
30/11/1970,37.54
31/12/1970,37.38
29/1/1971,38.05
26/2/1971,38.8
31/3/1971,38.88
30/4/1971,39.7
31/5/1971,40.84
30/6/1971,40.1
30/7/1971,42.4
31/8/1971,40.65
30/9/1971,42.6
29/10/1971,42.34
30/11/1971,43.6
31/12/1971,43.55
31/1/1972,47.15
29/2/1972,48.2
31/3/1972,48.38
28/4/1972,49.6
31/5/1972,59.45
30/6/1972,64.65
31/7/1972,68.3
31/8/1972,66.88
29/9/1972,64.2
31/10/1972,64.39
30/11/1972,63.6
29/12/1972,64.9
31/1/1973,66
28/2/1973,85
30/3/1973,90
30/4/1973,90.72
31/5/1973,114.75
29/6/1973,123.25
31/7/1973,115.6
31/8/1973,103.5
28/9/1973,100
31/10/1973,98
30/11/1973,101
31/12/1973,112.25
31/1/1974,132.5
28/2/1974,162.5
29/3/1974,173
30/4/1974,169.25
31/5/1974,156.75
28/6/1974,144.25
31/7/1974,156
30/8/1974,156
30/9/1974,151.25
31/10/1974,167
29/11/1974,184
31/12/1974,186.5
31/1/1975,175.8
28/2/1975,181.75
31/3/1975,177.25
30/4/1975,167
30/5/1975,167
30/6/1975,166.25
31/7/1975,166.7
29/8/1975,159.8
30/9/1975,141.25
31/10/1975,142.9
28/11/1975,138.15
31/12/1975,140.25
30/1/1976,128.15
27/2/1976,132.3
31/3/1976,129.6
30/4/1976,128.4
31/5/1976,125.5
30/6/1976,123.8
30/7/1976,112.5
31/8/1976,104
30/9/1976,116
29/10/1976,123.15
30/11/1976,130.25
31/12/1976,134.5
31/1/1977,132.3
28/2/1977,142.75
31/3/1977,148.9
29/4/1977,147.25
31/5/1977,142.95
30/6/1977,143
29/7/1977,144.1
31/8/1977,146
30/9/1977,154.05
31/10/1977,161.5
30/11/1977,160.05
30/12/1977,164.95
31/1/1978,175.75
28/2/1978,182.25
31/3/1978,181.6
28/4/1978,170.85
31/5/1978,184.15
30/6/1978,183.05
31/7/1978,200.25
31/8/1978,208.7
29/9/1978,217.1
31/10/1978,242.6
30/11/1978,193.4
29/12/1978,226
31/1/1979,233.7
28/2/1979,251.3
30/3/1979,240.1
30/4/1979,245.3
31/5/1979,274.6
29/6/1979,277.5
31/7/1979,296.45
31/8/1979,315.1
28/9/1979,397.25
31/10/1979,382
30/11/1979,415.65
31/12/1979,512
31/1/1980,653
29/2/1980,637
31/3/1980,494.5
30/4/1980,518
30/5/1980,535.5
30/6/1980,653.5
31/7/1980,614.25
29/8/1980,631.25
30/9/1980,666.75
31/10/1980,629
28/11/1980,619.75
31/12/1980,589.75
