Date,Price
1971-01-01,120.24
1971-02-01,120.26
1971-03-01,120.17
1971-04-01,120.19
1971-05-01,119.43
1971-06-01,119.16
1971-07-01,118.76
1971-08-01,116.47
1971-09-01,114.93
1971-10-01,114.65
1971-11-01,114.01
1971-12-01,111.21
1972-01-01,109.6
1972-02-01,108.68
1972-03-01,108.4
1972-04-01,108.62
1972-05-01,108.17
1972-06-01,108.51
1972-07-01,108.76
1972-08-01,108.96
1972-09-01,109.39
1972-10-01,109.9
1972-11-01,109.85
1972-12-01,110.14
1973-01-01,109.01
1973-02-01,100.13
1973-03-01,101.17
1973-04-01,101.43
1973-05-01,98.0
1973-06-01,93.88
1973-07-01,92.91
1973-08-01,95.77
1973-09-01,94.79
1973-10-01,95.06
1973-11-01,100.35
1973-12-01,102.39
1974-01-01,105.9
1974-02-01,103.03
1974-03-01,99.51
1974-04-01,98.49
1974-05-01,99.77
1974-06-01,100.16
1974-07-01,100.54
1974-08-01,103.18
1974-09-01,102.48
1974-10-01,101.26
1974-11-01,99.57
1974-12-01,97.29
1975-01-01,95.61
1975-02-01,93.0
1975-03-01,94.82
1975-04-01,95.39
1975-05-01,94.63
1975-06-01,95.86
1975-07-01,101.25
1975-08-01,101.79
1975-09-01,104.24
1975-10-01,101.61
1975-11-01,103.53
1975-12-01,103.51
1976-01-01,103.88
1976-02-01,103.66
1976-03-01,105.34
1976-04-01,106.23
1976-05-01,107.29
1976-06-01,106.64
1976-07-01,106.56
1976-08-01,106.13
1976-09-01,105.5
1976-10-01,105.94
1976-11-01,106.19
1976-12-01,104.56
1977-01-01,105.54
1977-02-01,105.26
1977-03-01,105.03
1977-04-01,104.39
1977-05-01,104.52
1977-06-01,103.84
1977-07-01,102.86
1977-08-01,103.64
1977-09-01,103.21
1977-10-01,100.96
1977-11-01,100.37
1977-12-01,96.44
1978-01-01,96.64
1978-02-01,94.6
1978-03-01,93.84
1978-04-01,95.62
1978-05-01,95.46
1978-06-01,93.53
1978-07-01,90.94
1978-08-01,90.0
1978-09-01,88.83
1978-10-01,83.07
1978-11-01,90.22
1978-12-01,86.5
1979-01-01,88.86
1979-02-01,88.18
1979-03-01,88.53
1979-04-01,89.98
1979-05-01,90.53
1979-06-01,87.85
1979-07-01,87.31
1979-08-01,87.19
1979-09-01,85.45
1979-10-01,88.95
1979-11-01,86.79
1979-12-01,85.82
1980-01-01,86.14
1980-02-01,87.65
1980-03-01,93.58
1980-04-01,88.11
1980-05-01,85.93
1980-06-01,85.2
1980-07-01,86.08
1980-08-01,85.85
1980-09-01,86.02
1980-10-01,88.38
1980-11-01,90.01
1980-12-01,90.39
1981-01-01,95.24
1981-02-01,97.06
1981-03-01,96.76
1981-04-01,100.45
1981-05-01,104.95
1981-06-01,107.71
1981-07-01,111.72
1981-08-01,110.28
1981-09-01,107.73
1981-10-01,106.13
1981-11-01,103.18
1981-12-01,104.69
1982-01-01,108.03
1982-02-01,111.93
1982-03-01,114.73
1982-04-01,111.6
1982-05-01,112.79
1982-06-01,119.04
1982-07-01,119.05
1982-08-01,120.29
1982-09-01,122.2
1982-10-01,124.78
1982-11-01,121.0
1982-12-01,117.36
1983-01-01,121.12
1983-02-01,120.35
1983-03-01,122.21
1983-04-01,122.39
1983-05-01,123.79
1983-06-01,124.94
1983-07-01,128.44
1983-08-01,130.84
1983-09-01,128.35
1983-10-01,128.4
1983-11-01,130.64
1983-12-01,131.79
1984-01-01,135.51
1984-02-01,128.25
1984-03-01,128.22
1984-04-01,132.64
1984-05-01,133.69
1984-06-01,136.26
1984-07-01,141.29
1984-08-01,140.33
1984-09-01,147.55
1984-10-01,146.39
1984-11-01,149.21
1984-12-01,151.47
1985-01-01,152.72
1985-02-01,160.41
1985-03-01,149.18
1985-04-01,149.7
1985-05-01,147.86
1985-06-01,146.12
1985-07-01,137.26
1985-08-01,138.2
1985-09-01,132.12
1985-10-01,129.39
1985-11-01,124.99
1985-12-01,123.46
1986-01-01,121.52
1986-02-01,115.08
1986-03-01,117.92
1986-04-01,111.77
1986-05-01,117.51
1986-06-01,111.61
1986-07-01,108.04
1986-08-01,106.43
1986-09-01,106.74
1986-10-01,109.27
1986-11-01,105.92
1986-12-01,103.58
1987-01-01,99.86
