Id,MSSubClass,MSZoning,LotFrontage,LotArea,Neighborhood,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemod/Add,TotalBsmtSF,1stFlrSF,2ndFlrSF,GrLivArea,BedroomAbvGr,TotRmsAbvGrd,MoSold,YrSold,SaleType,SalePrice,totalSF,psf
109,60,Residential(LD),71,13517,Sawyer,Single-family Detached,2Story,6,8,1976,2005,725.0,725,754,1479,3,6,3,2010,WD ,130500,2204.0,59
544,60,Residential(LD),43,11492,Sawyer West,Single-family Detached,2Story,7,5,1996,1997,913.0,913,1209,2122,4,8,4,2009,WD ,220000,3035.0,72
153,20,Residential(LD),68,7922,North Ames,Single-family Detached,1Story,5,7,1953,2007,1057.0,1057,0,1057,3,5,1,2010,WD ,109000,2114.0,51
318,60,Residential(LD),73,9802,Timberland,Single-family Detached,2Story,5,5,2006,2007,384.0,744,700,1444,3,7,4,2010,WD ,174000,1828.0,95
255,50,Residential(LD),82,14235,Sawyer West,Single-family Detached,1.5Fin,6,8,1900,1993,676.0,831,614,1445,3,6,3,2010,WD ,138500,2121.0,65
138,20,Residential(LD),137,16492,North Ames,Single-family Detached,1Story,6,6,1966,2002,1517.0,1888,0,1888,2,6,6,2010,WD ,190000,3405.0,55
2827,180,Residential(MD),35,3675,Edwards,Townhouse End Unit,SFoyer,6,5,2005,2006,547.0,1072,0,1072,2,5,6,2006,New,140000,1619.0,86
145,20,Residential(LD),74,12160,North Ames,Single-family Detached,1Story,5,5,1959,1959,1188.0,1188,0,1188,3,6,5,2010,COD,142000,2376.0,59
1942,20,Residential(LD),78,15783,Old Town,Single-family Detached,1Story,5,5,1952,1952,924.0,924,0,924,2,6,6,2007,WD ,112500,1848.0,60
1956,60,Residential(LD),70,11606,North Ames,Single-family Detached,2Story,5,5,1969,1969,1040.0,1040,1040,2080,5,9,9,2007,WD ,135000,3120.0,43
1044,160,Residential(MD),21,1680,Briardale,Townhouse Inside Unit,2Story,6,5,1971,1971,483.0,483,504,987,2,4,7,2008,COD,85400,1470.0,58
2752,20,Residential(LD),64,7488,College Creek,Single-family Detached,1Story,7,5,2005,2005,1208.0,1208,0,1208,2,6,2,2006,WD ,183600,2416.0,75
807,70,Residential(LD),120,26400,Sawyer West,Single-family Detached,2Story,5,7,1880,2007,0.0,1288,728,2016,4,7,6,2009,WD ,131000,2016.0,64
1177,160,Floating Village,24,2645,Somerset,Townhouse Inside Unit,2Story,8,5,1999,2000,960.0,962,645,1607,3,7,12,2008,ConLD,200000,2567.0,77
1480,20,Residential(LD),74,9627,College Creek,Single-family Detached,1Story,7,5,2007,2007,1351.0,1361,0,1361,3,6,6,2008,WD ,193000,2712.0,71
324,20,Residential(LD),93,10114,Mitchell,Single-family Detached,1Story,5,5,2004,2005,1430.0,1430,0,1430,3,7,3,2010,WD ,173500,2860.0,60
1311,70,Residential(MD),34,4571,Old Town,Single-family Detached,2Story,5,5,1916,1950,624.0,624,720,1344,4,7,5,2008,COD,98000,1968.0,49
770,20,Residential(LD),80,8816,Sawyer,Single-family Detached,1Story,5,6,1963,1963,1121.0,1121,0,1121,3,5,6,2009,WD ,139000,2242.0,61
2063,20,Residential(LD),71,8197,Sawyer,Single-family Detached,1Story,6,5,1977,1977,660.0,1285,0,1285,3,7,4,2007,WD ,143500,1945.0,73
69,60,Floating Village,72,8640,Somerset,Single-family Detached,2Story,7,5,2009,2009,756.0,764,783,1547,3,7,6,2010,Con,215200,2303.0,93
2062,20,Residential(LD),109,8724,Sawyer,Single-family Detached,1Story,5,5,1968,1968,894.0,894,0,894,3,5,5,2007,WD ,129000,1788.0,72
351,120,Residential(LD),40,5664,Stone Brook,Townhouse End Unit,1Story,8,5,2000,2000,1501.0,1659,0,1659,2,5,10,2009,WD ,278000,3160.0,87
2393,60,Residential(LD),103,12867,Northridge Heights,Single-family Detached,2Story,8,5,2005,2006,1209.0,1209,1044,2253,3,8,7,2006,New,344133,3462.0,99
12,20,Residential(LD),66,7980,Gilbert,Single-family Detached,1Story,6,7,1992,2007,1168.0,1187,0,1187,3,6,3,2010,WD ,185000,2355.0,78
2339,190,Residential(LD),100,34650,Gilbert,Two-family_Conversion,1Story,5,5,1955,1955,1056.0,1056,0,1056,3,5,1,2006,WD ,145000,2112.0,68
624,20,Residential(LD),92,10573,North Ames,Single-family Detached,1Story,6,6,1961,1961,1453.0,1453,0,1453,3,6,4,2009,WD ,187500,2906.0,64
86,20,Residential(LD),65,8450,Sawyer,Single-family Detached,1Story,5,8,1965,2009,894.0,894,0,894,3,5,4,2010,WD ,138500,1788.0,77
1534,50,Residential(LD),75,11700,Crawford,Single-family Detached,1.5Fin,5,6,1937,1995,942.0,1265,673,1938,4,7,7,2008,WD ,198000,2880.0,68
2243,190,,75,8250,Iowa DOT and Rail Road,Two-family_Conversion,2Story,5,6,1895,2006,957.0,1034,957,1991,4,9,6,2007,WD ,119600,2948.0,40
1957,50,Residential(LD),60,8064,North Ames,Single-family Detached,1.5Fin,5,7,1949,2006,672.0,672,252,924,3,6,7,2007,WD ,122900,1596.0,77
380,20,Residential(LD),80,9600,Northwest Ames,Single-family Detached,1Story,8,5,1981,1981,2524.0,2524,0,2524,4,9,7,2009,WD ,278000,5048.0,55
2860,70,Residential(LD),67,11435,Crawford,Single-family Detached,2Story,8,7,1929,1950,792.0,792,725,1517,3,7,6,2006,WD ,230000,2309.0,99
2517,120,Residential(LD),30,9549,Veenker,Townhouse End Unit,1Story,8,5,1995,1996,1494.0,1494,0,1494,2,6,4,2006,WD ,270000,2988.0,90
1933,20,Residential(LD),60,10950,North Ames,Single-family Detached,1Story,6,6,1952,1952,948.0,948,0,948,2,5,4,2007,WD ,125000,1896.0,65
820,20,Residential(LD),79,10637,College Creek,Single-family Detached,1Story,8,5,2007,2008,1705.0,1718,0,1718,3,7,9,2009,WD ,297000,3423.0,86
675,20,Residential(LD),80,9000,North Ames,Single-family Detached,1Story,6,6,1958,1958,160.0,1142,0,1142,2,5,4,2009,WD ,113500,1302.0,87
