Date,Species,Block,Street,Trap,Latitude,Longitude,WnvPresent,total_mos
2007-05-29,CULEX PIPIENS/RESTUANS,41, N OAK PARK AVE,T002,41.95469,-87.800991,0,1
2007-05-29,CULEX RESTUANS,41, N OAK PARK AVE,T002,41.95469,-87.800991,0,1
2007-05-29,CULEX RESTUANS,62, N MANDELL AVE,T007,41.994991,-87.769279,0,1
2007-05-29,CULEX PIPIENS/RESTUANS,79, W FOSTER AVE,T015,41.974089,-87.824812,0,1
2007-05-29,CULEX RESTUANS,79, W FOSTER AVE,T015,41.974089,-87.824812,0,4
2007-05-29,CULEX RESTUANS,15, W WEBSTER AVE,T045,41.9216,-87.666455,0,2
2007-05-29,CULEX RESTUANS,25, W GRAND AVE,T046,41.891118,-87.65449100000001,0,1
2007-05-29,CULEX PIPIENS/RESTUANS,11, W ROOSEVELT,T048,41.867108,-87.654224,0,1
2007-05-29,CULEX RESTUANS,11, W ROOSEVELT,T048,41.867108,-87.654224,0,2
2007-05-29,CULEX RESTUANS,11, W CHICAGO,T049,41.896282,-87.655232,0,1
2007-05-29,CULEX PIPIENS/RESTUANS,21, N STAVE ST,T050,41.919343,-87.694259,0,1
2007-05-29,CULEX PIPIENS/RESTUANS,22, N CANNON DR,T054,41.921965,-87.632085,0,2
2007-05-29,CULEX RESTUANS,22, N CANNON DR,T054,41.921965,-87.632085,0,3
2007-05-29,CULEX PIPIENS/RESTUANS,22, W 113TH ST,T086,41.688324,-87.676709,0,1
2007-05-29,CULEX RESTUANS,22, W 113TH ST,T086,41.688324,-87.676709,0,1
2007-05-29,CULEX RESTUANS,11, S PEORIA ST,T091,41.862292,-87.64886,0,1
2007-05-29,CULEX RESTUANS,17, W 95TH ST,T094,41.720848,-87.666014,0,3
2007-05-29,CULEX RESTUANS,22, W 89TH ST,T096,41.731922,-87.677512,0,5
2007-05-29,CULEX PIPIENS,22, W 89TH ST,T096,41.731922,-87.677512,0,1
2007-05-29,CULEX PIPIENS/RESTUANS,53, N STREETER DR,T129,41.891126,-87.61156,0,1
2007-05-29,CULEX RESTUANS,53, N STREETER DR,T129,41.891126,-87.61156,0,2
2007-05-29,CULEX PIPIENS/RESTUANS,65, N OAK PARK AVE,T143,41.999128999999996,-87.795585,0,1
2007-05-29,CULEX PIPIENS/RESTUANS,75, N OAKLEY AVE,T148,42.01743,-87.68776899999999,0,1
2007-05-29,CULEX RESTUANS,15, N LONG AVE,T153,41.907645,-87.760886,0,1
2007-05-29,CULEX RESTUANS,89, S CARPENTER ST,T159,41.732984,-87.649642,0,1
2007-06-05,CULEX PIPIENS/RESTUANS,41, N OAK PARK AVE,T002,41.95469,-87.800991,0,3
2007-06-05,CULEX RESTUANS,41, N OAK PARK AVE,T002,41.95469,-87.800991,0,5
2007-06-05,CULEX PIPIENS,41, N OAK PARK AVE,T002,41.95469,-87.800991,0,1
2007-06-05,CULEX PIPIENS/RESTUANS,79, W FOSTER AVE,T015,41.974089,-87.824812,0,1
2007-06-05,CULEX RESTUANS,79, W FOSTER AVE,T015,41.974089,-87.824812,0,2
2007-06-05,CULEX PIPIENS/RESTUANS,15, W WEBSTER AVE,T045,41.9216,-87.666455,0,1
2007-06-05,CULEX RESTUANS,15, W WEBSTER AVE,T045,41.9216,-87.666455,0,2
2007-06-05,CULEX PIPIENS,15, W WEBSTER AVE,T045,41.9216,-87.666455,0,1
2007-06-05,CULEX RESTUANS,25, W GRAND AVE,T046,41.891118,-87.65449100000001,0,1
2007-06-05,CULEX PIPIENS/RESTUANS,11, W ROOSEVELT,T048,41.867108,-87.654224,0,1
2007-06-05,CULEX RESTUANS,11, W ROOSEVELT,T048,41.867108,-87.654224,0,1
2007-06-05,CULEX PIPIENS,11, W ROOSEVELT,T048,41.867108,-87.654224,0,2
2007-06-05,CULEX RESTUANS,11, W CHICAGO,T049,41.896282,-87.655232,0,2
2007-06-05,CULEX PIPIENS/RESTUANS,21, N STAVE ST,T050,41.919343,-87.694259,0,1
2007-06-05,CULEX RESTUANS,21, N STAVE ST,T050,41.919343,-87.694259,0,1
