Date,Species,Block,Street,Trap,Latitude,Longitude,WnvPresent,total_mos,Station,Tmax,Tmin,Tavg,Depart,DewPoint,WetBulb,Heat,Cool,Sunrise,Sunset,CodeSum,PrecipTotal,StnPressure,SeaLevel,ResultSpeed,ResultDir,AvgSpeed,Year,Month
2007-05-29,CULEX PIPIENS/RESTUANS,41, N OAK PARK AVE,T002,41.95469,-87.800991,0,1,1,88.0,60.0,74.0,10,58,65.0,0.0,9.0,421,1917,BR HZ,0.0,29.39,30.11,5.8,18,6.5,2007,5
2007-05-29,CULEX RESTUANS,41, N OAK PARK AVE,T002,41.95469,-87.800991,0,1,1,88.0,60.0,74.0,10,58,65.0,0.0,9.0,421,1917,BR HZ,0.0,29.39,30.11,5.8,18,6.5,2007,5
2007-05-29,CULEX RESTUANS,62, N MANDELL AVE,T007,41.994991,-87.769279,0,1,1,88.0,60.0,74.0,10,58,65.0,0.0,9.0,421,1917,BR HZ,0.0,29.39,30.11,5.8,18,6.5,2007,5
2007-05-29,CULEX PIPIENS/RESTUANS,79, W FOSTER AVE,T015,41.974089,-87.824812,0,1,1,88.0,60.0,74.0,10,58,65.0,0.0,9.0,421,1917,BR HZ,0.0,29.39,30.11,5.8,18,6.5,2007,5
2007-05-29,CULEX RESTUANS,79, W FOSTER AVE,T015,41.974089,-87.824812,0,4,1,88.0,60.0,74.0,10,58,65.0,0.0,9.0,421,1917,BR HZ,0.0,29.39,30.11,5.8,18,6.5,2007,5
2007-05-29,CULEX RESTUANS,15, W WEBSTER AVE,T045,41.9216,-87.666455,0,2,2,88.0,65.0,76.0,10,59,66.0,0.0,12.0,421,1917,BR HZ,0.0,29.44,30.09,5.8,16,7.4,2007,5
2007-05-29,CULEX RESTUANS,25, W GRAND AVE,T046,41.891118,-87.65449100000002,0,1,2,88.0,65.0,76.0,10,59,66.0,0.0,12.0,421,1917,BR HZ,0.0,29.44,30.09,5.8,16,7.4,2007,5
2007-05-29,CULEX PIPIENS/RESTUANS,11, W ROOSEVELT,T048,41.867108,-87.654224,0,1,2,88.0,65.0,76.0,10,59,66.0,0.0,12.0,421,1917,BR HZ,0.0,29.44,30.09,5.8,16,7.4,2007,5
2007-05-29,CULEX RESTUANS,11, W ROOSEVELT,T048,41.867108,-87.654224,0,2,2,88.0,65.0,76.0,10,59,66.0,0.0,12.0,421,1917,BR HZ,0.0,29.44,30.09,5.8,16,7.4,2007,5
2007-05-29,CULEX RESTUANS,11, W CHICAGO,T049,41.896282,-87.655232,0,1,2,88.0,65.0,76.0,10,59,66.0,0.0,12.0,421,1917,BR HZ,0.0,29.44,30.09,5.8,16,7.4,2007,5
2007-05-29,CULEX PIPIENS/RESTUANS,21, N STAVE ST,T050,41.919343,-87.694259,0,1,2,88.0,65.0,76.0,10,59,66.0,0.0,12.0,421,1917,BR HZ,0.0,29.44,30.09,5.8,16,7.4,2007,5
